n;time(ms);throughput(mflop/s)
10;0.164977;0.060614
20;0.041591;0.480872
30;0.041221;0.727781
40;0.041237;0.969984
50;0.041108;1.216290
60;0.040987;1.463870
70;0.041147;1.701180
80;0.041123;1.945360
90;0.040961;2.197180
100;0.040939;2.442630
120;0.041285;2.906560
140;0.041007;3.414050
160;0.041344;3.869920
180;0.041796;4.306610
200;0.041234;4.850270
220;0.041209;5.338610
240;0.041308;5.809880
260;0.041369;6.284760
280;0.041327;6.775080
300;0.041061;7.306190
350;0.041114;8.512760
400;0.040996;9.756980
450;0.041276;10.902000
500;0.041126;12.157500
600;0.040904;14.668200
700;0.041198;16.990900
800;0.041331;19.355900
900;0.041056;21.921000
1000;0.041412;24.147400
1024;0.034508;29.673800
1100;0.034376;31.999100
1200;0.034503;34.778800
1300;0.034359;37.835700
1400;0.034425;40.667200
1500;0.034555;43.409000
1600;0.034459;46.430800
1700;0.034438;49.364000
1800;0.034519;52.144300
1900;0.034453;55.147200
2000;0.034496;57.977100
2250;0.034500;65.216900
2500;0.034486;72.492400
2750;0.034443;79.840400
3000;0.034702;86.448200
3250;0.034643;93.813900
3500;0.034443;101.617000
3750;0.034508;108.670000
4000;0.034621;115.535000
4250;0.034568;122.945000
4500;0.034627;129.954000
4750;0.034588;137.330000
5000;0.034625;144.402000
5500;0.034639;158.778000
6000;0.034667;173.071000
6500;0.034655;187.559000
7000;0.034667;201.919000
7500;0.034753;215.804000
8000;0.034697;230.567000
8500;0.034840;243.967000
9000;0.034859;258.181000
9500;0.034933;271.943000
10000;0.034838;287.040000
11000;0.034823;315.881000
12000;0.034847;344.354000
13000;0.035022;371.186000
14000;0.034922;400.884000
15000;0.035059;427.844000
16000;0.034951;457.779000
17000;0.035071;484.723000
18000;0.035225;510.990000
19000;0.034863;544.983000
20000;0.035127;569.359000
21000;0.035297;594.951000
22000;0.035217;624.697000
23000;0.035256;652.364000
24000;0.035343;679.048000
25000;0.035502;704.171000
26000;0.035430;733.830000
27000;0.035374;763.264000
28000;0.035476;789.260000
29000;0.035409;818.992000
30000;0.035680;840.806000
31000;0.035556;871.841000
32000;0.035891;891.582000
33000;0.035700;924.367000
34000;0.035901;947.026000
35000;0.035840;976.537000
36000;0.035742;1007.200000
37000;0.035854;1031.960000
38000;0.036016;1055.070000
39000;0.035986;1083.740000
40000;0.035961;1112.300000
41000;0.035926;1141.200000
42000;0.036082;1163.990000
43000;0.035989;1194.810000
44000;0.036291;1212.400000
45000;0.036129;1245.510000
46000;0.036183;1271.300000
47000;0.036139;1300.510000
48000;0.036292;1322.590000
49000;0.036353;1347.860000
50000;0.036362;1375.050000
52000;0.036390;1428.950000
54000;0.036523;1478.510000
56000;0.036572;1531.200000
58000;0.036714;1579.750000
60000;0.036574;1640.500000
62000;0.036880;1681.100000
64000;0.036837;1737.370000
66000;0.037052;1781.250000
68000;0.037017;1836.990000
70000;0.036922;1895.870000
72000;0.036986;1946.650000
74000;0.036995;2000.230000
76000;0.037024;2052.690000
78000;0.037108;2101.940000
80000;0.037310;2144.180000
82000;0.037324;2196.950000
84000;0.037385;2246.840000
86000;0.037419;2298.290000
88000;0.037496;2346.910000
90000;0.037584;2394.610000
92000;0.040277;2284.150000
94000;0.038014;2472.720000
96000;0.037810;2538.970000
98000;0.037949;2582.390000
100000;0.037910;2637.770000
200000;0.041894;4773.920000
300000;0.043288;6930.210000
400000;0.041459;9647.900000
500000;0.045582;10969.200000
600000;0.045531;13177.800000
700000;0.048408;14460.400000
800000;0.052523;15231.400000
900000;0.051507;17473.100000
1000000;0.053951;18535.000000
1500000;0.059123;25370.600000
2000000;0.064017;31241.700000
3000000;0.075950;39499.400000
4000000;0.088770;45060.000000
5000000;0.101617;49204.100000
7500000;0.129125;58082.900000
10000000;0.163426;61189.700000
15000000;0.219013;68488.800000
20000000;0.281001;71173.900000
25000000;0.341394;73229.000000
30000000;0.407763;73572.000000
35000000;0.473467;73922.700000
40000000;0.538891;74226.500000
45000000;0.606472;74199.600000
50000000;0.675278;74043.600000
55000000;0.732179;75118.200000
60000000;0.802491;74767.100000
65000000;0.862346;75375.700000
70000000;0.956270;73201.100000
75000000;1.006148;74541.700000
80000000;1.069868;74775.500000
85000000;1.169692;72668.700000
90000000;1.219867;73778.500000
95000000;1.278227;74321.700000
100000000;1.381036;72409.400000
