n;time(ms);throughput(mflop/s)
10;0.015273;0.654739
20;0.005691;3.514260
30;0.006659;4.504810
40;0.005693;7.025250
50;0.005685;8.794150
60;0.005797;10.349000
70;0.006284;11.138200
80;0.005730;13.960300
90;0.005629;15.987100
100;0.005882;17.000700
120;0.005753;20.858000
140;0.006354;22.031300
160;0.005862;27.290900
180;0.006723;26.770000
200;0.005721;34.954000
220;0.006055;36.330900
240;0.005704;42.070200
260;0.005648;46.034000
280;0.005653;49.529900
300;0.005696;52.664800
350;0.005783;60.519600
400;0.005697;70.206200
450;0.006709;67.067600
500;0.005686;87.930600
600;0.006116;98.093700
700;0.005791;120.875000
800;0.005872;136.239000
900;0.005823;154.560000
1000;0.005740;174.199000
1024;0.011041;92.737200
1100;0.010921;100.719000
1200;0.011063;108.463000
1300;0.011188;116.191000
1400;0.010972;127.595000
1500;0.010173;147.438000
1600;0.010970;145.847000
1700;0.011112;152.986000
1800;0.011306;159.203000
1900;0.011115;170.929000
2000;0.010908;183.345000
2250;0.011396;197.434000
2500;0.010950;228.311000
2750;0.010836;253.784000
3000;0.010685;280.745000
3250;0.011093;292.964000
3500;0.011155;313.738000
3750;0.010958;342.186000
4000;0.009842;406.409000
4250;0.011140;381.493000
4500;0.010998;409.149000
4750;0.011212;423.646000
5000;0.010974;455.602000
5500;0.011161;492.745000
6000;0.011057;542.640000
6500;0.011171;581.853000
7000;0.010291;680.203000
7500;0.011263;665.865000
8000;0.011214;713.388000
8500;0.011307;751.730000
9000;0.011031;815.868000
9500;0.011154;851.674000
10000;0.011427;875.113000
11000;0.011044;995.966000
12000;0.011254;1066.290000
13000;0.018186;714.826000
14000;0.011073;1264.240000
15000;0.010877;1379.000000
16000;0.011347;1410.030000
17000;0.010754;1580.690000
18000;0.010813;1664.530000
19000;0.010931;1738.100000
20000;0.009967;2006.600000
21000;0.010896;1927.260000
22000;0.010928;2013.010000
23000;0.010347;2222.660000
24000;0.010901;2201.510000
25000;0.010756;2324.260000
26000;0.011205;2320.280000
27000;0.010841;2490.440000
28000;0.011278;2482.620000
29000;0.011240;2580.010000
30000;0.010908;2750.210000
31000;0.011105;2791.380000
32000;0.010418;3071.360000
33000;0.010937;3017.100000
34000;0.010823;3141.270000
35000;0.011064;3163.230000
36000;0.011266;3195.200000
37000;0.010929;3385.470000
38000;0.010893;3488.450000
39000;0.010954;3560.130000
40000;0.011194;3573.180000
41000;0.011211;3656.860000
42000;0.010971;3828.050000
43000;0.010800;3981.150000
44000;0.011356;3874.540000
45000;0.011249;4000.090000
46000;0.010828;4248.130000
47000;0.011273;4169.160000
48000;0.011351;4228.570000
49000;0.011151;4394.150000
50000;0.011190;4468.060000
52000;0.011242;4625.330000
54000;0.011371;4748.710000
56000;0.010971;5103.970000
58000;0.010966;5289.000000
60000;0.011174;5369.610000
62000;0.011047;5611.930000
64000;0.011349;5638.920000
66000;0.011394;5792.120000
68000;0.010976;6195.050000
70000;0.010989;6369.800000
72000;0.010878;6618.740000
74000;0.011357;6515.370000
76000;0.010941;6946.130000
78000;0.011174;6980.270000
80000;0.011399;7018.070000
82000;0.011095;7390.250000
84000;0.011093;7572.000000
86000;0.011282;7622.690000
88000;0.011075;7945.470000
90000;0.011254;7996.620000
92000;0.011357;8100.230000
94000;0.011133;8442.650000
96000;0.011301;8494.410000
98000;0.011371;8618.380000
100000;0.010786;9270.680000
200000;0.011671;17136.400000
300000;0.012954;23158.200000
400000;0.013661;29280.100000
500000;0.013974;35780.400000
600000;0.015485;38745.900000
700000;0.016474;42489.100000
800000;0.022641;35333.400000
900000;0.024203;37184.100000
1000000;0.024715;40460.200000
1500000;0.031942;46959.300000
2000000;0.039785;50269.300000
3000000;0.049695;60367.300000
4000000;0.063675;62818.500000
5000000;0.074790;66853.300000
7500000;0.102355;73274.400000
10000000;0.131605;75984.600000
15000000;0.231134;64897.400000
20000000;0.255270;78348.400000
25000000;0.319769;78181.400000
30000000;0.380841;78772.900000
35000000;0.448733;77997.300000
40000000;0.514448;77753.200000
45000000;0.580247;77553.100000
50000000;0.648258;77129.800000
55000000;0.708471;77631.900000
60000000;0.776826;77237.300000
65000000;0.837214;77638.400000
70000000;0.929020;75348.200000
75000000;0.979612;76560.900000
80000000;1.047868;76345.500000
85000000;1.141910;74436.700000
90000000;1.199428;75035.700000
95000000;1.259823;75407.400000
100000000;1.356125;73739.500000
