n;time(ms);throughput(mflop/s)
2;1.687214;59269.300000
4;1.355100;73795.200000
8;1.343695;74421.600000
16;1.336116;74843.800000
32;1.334564;74930.800000
64;1.332869;75026.100000
128;1.339328;74664.300000
256;1.337730;74753.500000
512;1.328199;75289.900000
1024;1.340394;74604.900000
1536;1.360261;73515.300000
2048;1.354494;73828.300000
2560;1.357904;73642.900000
3072;1.362577;73390.300000
3584;1.369408;73024.200000
4096;1.376603;72642.600000
4608;1.376917;72626.000000
5120;1.387836;72054.600000
5632;1.394646;71702.800000
6144;1.400339;71411.300000
6656;1.452040;68868.600000
7168;1.435193;69677.000000
7680;1.415861;70628.400000
8192;1.420640;70390.800000
8704;1.428780;69989.700000
9216;1.436084;69633.800000
9728;1.443271;69287.000000
10240;1.444196;69242.600000
10752;1.455221;68718.000000
11264;1.461222;68435.800000
11776;1.494635;66906.000000
12288;1.596771;62626.400000
