n;time(ms);throughput(mflop/s)
2;1.568330;63762.100000
4;1.351074;74015.100000
8;1.337262;74779.600000
16;1.331812;75085.700000
32;1.330993;75131.800000
64;1.329640;75208.300000
128;1.329410;75221.300000
256;1.337160;74785.400000
512;1.327664;75320.200000
1024;1.331824;75085.000000
1536;1.340890;74577.300000
2048;1.328272;75285.800000
2560;1.327699;75318.300000
3072;1.329484;75217.100000
3584;1.329448;75219.200000
4096;1.327933;75305.000000
4608;1.330590;75154.600000
5120;1.327198;75346.700000
5632;1.331613;75096.900000
6144;1.333308;75001.400000
6656;1.357444;73667.800000
7168;1.341581;74538.900000
7680;1.330424;75164.000000
8192;1.331635;75095.600000
8704;1.329194;75233.600000
9216;1.329704;75204.700000
9728;1.328823;75254.500000
10240;1.331833;75084.400000
10752;1.330287;75171.700000
11264;1.330381;75166.400000
11776;1.339841;74635.700000
