n;time(ms);throughput(mflop/s)
10;0.075333;0.132742
20;0.041316;0.484067
30;0.041081;0.730260
40;0.041054;0.974311
50;0.041211;1.213260
60;0.034641;1.732020
70;0.041048;1.705310
80;0.041237;1.940000
90;0.041018;2.194130
100;0.041309;2.420750
120;0.041136;2.917110
140;0.041030;3.412100
160;0.041050;3.897620
180;0.041020;4.388050
200;0.041136;4.861890
220;0.041410;5.312720
240;0.041115;5.837240
260;0.041230;6.306030
280;0.041311;6.777760
300;0.041337;7.257290
350;0.041052;8.525760
400;0.041498;9.639000
450;0.041416;10.865200
500;0.041330;12.097500
600;0.041040;14.619600
700;0.041003;17.071500
800;0.041329;19.356800
900;0.046191;19.483900
1000;0.041330;24.195400
1024;0.034447;29.726300
1100;0.034453;31.927000
1200;0.034521;34.760700
1300;0.034471;37.712100
1400;0.034611;40.448700
1500;0.034468;43.518100
1600;0.034518;46.352000
1700;0.034577;49.165300
1800;0.034457;52.238000
1900;0.034539;55.008800
2000;0.034584;57.829900
2250;0.034664;64.907300
2500;0.034681;72.083800
2750;0.034586;79.510700
3000;0.034497;86.961800
3250;0.034783;93.434000
3500;0.034704;100.851000
3750;0.034772;107.843000
4000;0.034616;115.552000
4250;0.034526;123.095000
4500;0.034657;129.840000
4750;0.034793;136.521000
5000;0.034823;143.581000
5500;0.034668;158.645000
6000;0.034724;172.788000
6500;0.034690;187.372000
7000;0.034747;201.452000
7500;0.034952;214.577000
8000;0.034761;230.141000
8500;0.034913;243.457000
9000;0.034922;257.716000
9500;0.034882;272.341000
10000;0.037635;265.708000
11000;0.034900;315.179000
12000;0.035185;341.054000
13000;0.034921;372.261000
14000;0.034927;400.831000
15000;0.035058;427.853000
16000;0.035225;454.213000
17000;0.035211;482.795000
18000;0.035320;509.624000
19000;0.035215;539.538000
20000;0.035326;566.142000
21000;0.035255;595.644000
22000;0.035491;619.871000
23000;0.035418;649.387000
24000;0.035435;677.296000
25000;0.035365;706.912000
26000;0.035510;732.175000
27000;0.035633;757.725000
28000;0.035500;788.718000
29000;0.035491;817.109000
30000;0.035711;840.076000
31000;0.035675;868.938000
32000;0.035834;892.990000
33000;0.035924;918.584000
34000;0.035835;948.780000
35000;0.036089;969.819000
36000;0.036483;986.753000
37000;0.036005;1027.620000
38000;0.036110;1052.320000
39000;0.036225;1076.580000
40000;0.036127;1107.180000
41000;0.036326;1128.640000
42000;0.036219;1159.600000
43000;0.036164;1189.010000
44000;0.036271;1213.070000
45000;0.036233;1241.950000
46000;0.036376;1264.560000
47000;0.036764;1278.400000
48000;0.036368;1319.810000
49000;0.036400;1346.140000
50000;0.036449;1371.760000
52000;0.036285;1433.070000
54000;0.036647;1473.520000
56000;0.036582;1530.790000
58000;0.041328;1403.400000
60000;0.037000;1621.590000
62000;0.036804;1684.560000
64000;0.036957;1731.730000
66000;0.036915;1787.860000
68000;0.037141;1830.850000
70000;0.037044;1889.620000
72000;0.037062;1942.680000
74000;0.037369;1980.200000
76000;0.037155;2045.490000
78000;0.037275;2092.520000
80000;0.037359;2141.330000
82000;0.037455;2189.250000
84000;0.036448;2304.650000
86000;0.037621;2285.930000
88000;0.037410;2352.280000
90000;0.037588;2394.360000
92000;0.037777;2435.280000
94000;0.037761;2489.300000
96000;0.038058;2522.400000
98000;0.037812;2591.720000
100000;0.038214;2616.790000
200000;0.041851;4778.840000
300000;0.042923;6989.190000
400000;0.041305;9684.000000
500000;0.045988;10872.300000
600000;0.045237;13263.400000
700000;0.048557;14415.800000
800000;0.052341;15284.200000
900000;0.051143;17597.500000
1000000;0.054216;18444.700000
1500000;0.059676;25135.700000
2000000;0.064053;31223.700000
3000000;0.076419;39257.200000
4000000;0.088929;44979.400000
5000000;0.101704;49162.300000
7500000;0.160272;46795.200000
10000000;0.160427;62333.500000
15000000;0.219540;68324.600000
20000000;0.281581;71027.400000
25000000;0.343544;72770.800000
30000000;0.408636;73414.800000
35000000;0.473447;73925.900000
40000000;0.537899;74363.300000
45000000;0.605930;74266.000000
50000000;0.655680;76256.700000
55000000;0.719673;76423.600000
60000000;0.790719;75880.200000
65000000;0.885419;73411.500000
70000000;0.940039;74464.900000
75000000;0.997367;75197.900000
80000000;1.098477;72828.100000
85000000;1.138147;74682.800000
90000000;1.205313;74669.400000
95000000;1.300318;73059.000000
100000000;1.351563;73988.400000
