n;time(ms);throughput(mflop/s)
10;0.011841;0.844463
20;0.010049;1.990200
30;0.006025;4.978550
40;0.005637;7.095780
50;0.007376;6.778740
60;0.005659;10.602500
70;0.006250;11.199700
80;0.005612;14.255000
90;0.005634;15.973700
100;0.005649;17.701600
120;0.005578;21.511700
140;0.005643;24.807500
160;0.006182;25.881600
180;0.005680;31.686500
200;0.005583;35.819200
220;0.005729;38.398800
240;0.005658;42.415200
260;0.005588;46.522900
280;0.006150;45.527300
300;0.005616;53.415500
350;0.005604;62.449800
400;0.005731;69.794000
450;0.006276;71.699400
500;0.005705;87.640100
600;0.005666;105.879000
700;0.006103;114.691000
800;0.005602;142.793000
900;0.008244;109.160000
1000;0.006209;161.041000
1024;0.010923;93.744100
1100;0.010852;101.361000
1200;0.011120;107.909000
1300;0.011070;117.435000
1400;0.011228;124.684000
1500;0.011018;136.130000
1600;0.010838;147.627000
1700;0.010884;156.188000
1800;0.011043;162.995000
1900;0.011052;171.904000
2000;0.011041;181.141000
2250;0.011022;204.135000
2500;0.011127;224.662000
2750;0.011053;248.797000
3000;0.010292;291.473000
3250;0.011036;294.484000
3500;0.010784;324.553000
3750;0.010087;371.766000
4000;0.011054;361.829000
4250;0.011066;384.032000
4500;0.010664;421.959000
4750;0.011189;424.499000
5000;0.010881;459.506000
5500;0.010895;504.777000
6000;0.010996;545.608000
6500;0.011184;581.174000
7000;0.010468;668.650000
7500;0.010884;689.028000
8000;0.010354;772.618000
8500;0.010900;779.817000
9000;0.011059;813.798000
9500;0.010970;865.951000
10000;0.011093;901.425000
11000;0.011250;977.721000
12000;0.011009;1089.930000
13000;0.010945;1187.720000
14000;0.009721;1440.170000
15000;0.011086;1352.990000
16000;0.010866;1472.390000
17000;0.010759;1579.970000
18000;0.011340;1587.220000
19000;0.010800;1759.120000
20000;0.010956;1825.440000
21000;0.010829;1939.120000
22000;0.009594;2293.060000
23000;0.010436;2203.900000
24000;0.010248;2341.860000
25000;0.010624;2353.020000
26000;0.011269;2307.030000
27000;0.010984;2457.910000
28000;0.011083;2526.360000
29000;0.011452;2532.170000
30000;0.010888;2755.240000
31000;0.010961;2827.980000
32000;0.010677;2997.010000
33000;0.013602;2426.080000
34000;0.010967;3100.210000
35000;0.010277;3405.410000
36000;0.010259;3508.910000
37000;0.010778;3432.730000
38000;0.011037;3442.820000
39000;0.010053;3879.230000
40000;0.011302;3538.980000
41000;0.010861;3774.940000
42000;0.011106;3781.570000
43000;0.010986;3914.040000
44000;0.011153;3945.130000
45000;0.011222;4009.800000
46000;0.009614;4784.660000
47000;0.010975;4282.090000
48000;0.011089;4328.380000
49000;0.010849;4516.480000
50000;0.011142;4487.400000
52000;0.010842;4795.940000
54000;0.010958;4927.820000
56000;0.016817;3329.910000
58000;0.010985;5279.830000
60000;0.011407;5259.770000
62000;0.010829;5724.890000
64000;0.010852;5897.040000
66000;0.010830;6094.150000
68000;0.011235;6052.410000
70000;0.012153;5759.470000
72000;0.010420;6909.790000
74000;0.010792;6856.840000
76000;0.010860;6997.870000
78000;0.011122;7012.620000
80000;0.010921;7325.240000
82000;0.011051;7420.010000
84000;0.010908;7700.560000
86000;0.011125;7730.340000
88000;0.011167;7879.690000
90000;0.010952;8217.080000
92000;0.011502;7998.300000
94000;0.011089;8476.330000
96000;0.011074;8668.760000
98000;0.011408;8589.970000
100000;0.010997;9093.390000
200000;0.012831;15587.100000
300000;0.013051;22985.100000
400000;0.011024;36283.000000
500000;0.013758;36341.600000
600000;0.015188;39504.400000
700000;0.020094;34835.400000
800000;0.022046;36287.500000
900000;0.024104;37337.300000
1000000;0.024705;40476.500000
1500000;0.031600;47467.200000
2000000;0.036369;54991.300000
3000000;0.049610;60470.800000
4000000;0.060504;66111.300000
5000000;0.073001;68492.000000
7500000;0.112114;66896.000000
10000000;0.135074;74033.200000
15000000;0.191304;78409.000000
20000000;0.255701;78216.100000
25000000;0.317556;78726.000000
30000000;0.381402;78657.000000
35000000;0.445210;78614.500000
40000000;0.512376;78067.700000
45000000;0.580787;77481.000000
50000000;0.635260;78707.900000
55000000;0.700881;78472.600000
60000000;0.766142;78314.400000
65000000;0.857219;75826.500000
70000000;0.915161;76489.200000
75000000;0.976054;76839.900000
80000000;1.070511;74730.600000
85000000;1.116712;76116.300000
90000000;1.188741;75710.300000
95000000;1.271841;74694.800000
100000000;1.331267;75116.400000
