n;time(ms);throughput(mflop/s)
10;0.006237;1.603140
20;0.006861;2.914860
30;0.006395;4.690940
40;0.006368;6.280820
50;0.007099;7.043150
60;0.007270;8.252240
70;0.006958;10.059100
80;0.006698;11.943100
90;0.006655;13.523400
100;0.006622;15.099900
120;0.006721;17.852500
140;0.007190;19.471400
160;0.008422;18.996300
180;0.007376;24.402500
200;0.008186;24.431100
220;0.007636;28.810300
240;0.008124;29.541200
260;0.008601;30.226600
280;0.010227;27.376600
300;0.008401;35.709400
350;0.008830;39.636300
400;0.010318;38.765500
450;0.012795;35.169900
500;0.010589;47.215500
600;0.011014;54.475600
700;0.016616;42.127600
800;0.013515;59.189500
900;0.015126;59.497800
1000;0.016049;62.306100
1024;0.015309;66.887200
1100;0.016938;64.942300
1200;0.016684;71.923300
1300;0.021409;60.721000
1400;0.018745;74.685600
1500;0.018864;79.515100
1600;0.020178;79.294100
1700;0.021039;80.801700
1800;0.022506;79.978100
1900;0.022437;84.680200
2000;0.024152;82.807700
2250;0.026648;84.431100
2500;0.040196;62.194400
2750;0.030984;88.755100
3000;0.032604;92.013200
3250;0.056600;57.419800
3500;0.053399;65.543200
3750;0.040922;91.636300
4000;0.041686;95.953600
4250;0.044724;95.026400
4500;0.047097;95.547100
4750;0.069667;68.181400
5000;0.050417;99.171700
5500;0.055190;99.654900
6000;0.062235;96.407500
6500;0.103253;62.952000
7000;0.122583;57.104100
7500;0.078108;96.019700
8000;0.078121;102.405000
8500;0.083386;101.935000
9000;0.091005;98.895200
9500;0.095397;99.583800
10000;0.096189;103.962000
11000;0.126599;86.888100
12000;0.112063;107.082000
13000;0.121993;106.563000
14000;0.133912;104.546000
15000;0.142121;105.543000
16000;0.145428;110.020000
17000;0.159326;106.699000
18000;0.165642;108.668000
19000;0.177312;107.155000
20000;0.189588;105.492000
21000;0.198531;105.777000
22000;0.207312;106.120000
23000;0.217039;105.972000
24000;0.226111;106.142000
25000;0.330670;75.603900
26000;0.237991;109.247000
27000;0.279050;96.756600
28000;0.273121;102.519000
29000;0.343123;84.517600
30000;0.272088;110.258000
31000;0.334239;92.747900
32000;0.300131;106.620000
33000;0.316891;104.137000
34000;0.322926;105.287000
35000;0.355170;98.544100
36000;0.340037;105.871000
37000;0.352376;105.001000
38000;0.355076;107.019000
39000;0.369336;105.595000
40000;0.649015;61.631800
41000;0.394352;103.968000
42000;0.581952;72.170800
43000;0.397435;108.194000
44000;0.398255;110.482000
45000;0.410098;109.730000
46000;0.420300;109.446000
47000;0.426050;110.316000
48000;0.436901;109.865000
49000;0.456845;107.257000
50000;0.495372;100.934000
52000;0.700616;74.220400
54000;0.682288;79.145500
56000;0.716618;78.144700
58000;0.778938;74.460300
60000;0.668896;89.700000
62000;0.559972;110.720000
64000;0.578231;110.682000
66000;0.595753;110.784000
68000;0.613185;110.896000
70000;1.012813;69.114400
72000;0.877081;82.090400
74000;0.677587;109.211000
76000;0.687894;110.482000
78000;0.748558;104.200000
80000;0.732164;109.265000
82000;0.960649;85.358900
84000;1.044171;80.446600
86000;0.962719;89.330300
88000;0.794650;110.741000
90000;0.829051;108.558000
92000;1.143619;80.446300
94000;0.846090;111.099000
96000;0.862150;111.349000
98000;0.904049;108.401000
100000;1.107271;90.312100
200000;1.804566;110.830000
300000;2.747318;109.197000
400000;4.263266;93.824800
500000;4.580479;109.159000
600000;5.929458;101.190000
700000;6.281761;111.434000
800000;7.935465;100.813000
900000;8.061088;111.647000
1000000;8.983169;111.319000
1500000;13.320273;112.610000
2000000;18.810483;106.324000
3000000;27.138550;110.544000
4000000;36.912351;108.365000
5000000;49.028094;101.982000
7500000;77.933062;96.236400
10000000;90.791347;110.143000
15000000;135.426193;110.761000
20000000;183.489828;108.998000
25000000;224.494689;111.361000
30000000;270.251082;111.008000
35000000;333.318146;105.005000
40000000;384.909835;103.920000
45000000;475.473860;94.642400
50000000;465.626664;107.382000
55000000;511.654130;107.494000
60000000;559.796658;107.182000
65000000;603.791880;107.653000
70000000;718.390212;97.440100
75000000;705.254177;106.345000
80000000;726.136110;110.172000
85000000;773.371034;109.908000
90000000;829.179397;108.541000
95000000;927.918661;102.380000
100000000;903.871697;110.635000
