n;time(ms);throughput(mflop/s)
10;0.005878;1.701040
20;0.006023;3.320220
30;0.006014;4.987900
40;0.006313;6.335630
50;0.006158;8.119450
60;0.006323;9.488420
70;0.006521;10.733100
80;0.006549;12.213800
90;0.006476;13.897100
100;0.006869;14.556800
120;0.006958;17.246000
140;0.006986;20.038800
160;0.007059;22.665900
180;0.007456;24.140500
200;0.007861;25.440100
220;0.008098;27.165400
240;0.007937;30.236000
260;0.008128;31.985400
280;0.007864;35.604400
300;0.008061;37.214400
350;0.008821;39.674400
400;0.009497;42.118600
450;0.009993;45.029700
500;0.009982;50.088700
600;0.011723;51.180300
700;0.012200;57.372800
800;0.013439;59.525100
900;0.013687;65.754900
1000;0.014256;70.144200
1024;0.015360;66.664500
1100;0.016174;68.007200
1200;0.016371;73.299500
1300;0.016833;77.228800
1400;0.019053;73.478100
1500;0.020127;74.526600
1600;0.020280;78.892700
1700;0.021296;79.825500
1800;0.021813;82.516400
1900;0.023533;80.734400
2000;0.025731;77.724400
2250;0.024916;90.300700
2500;0.028469;87.813900
2750;0.030101;91.357700
3000;0.032800;91.462000
3250;0.037830;85.909500
3500;0.036760;95.211300
3750;0.039255;95.527000
4000;0.040749;98.160700
4250;0.043741;97.162100
4500;0.046262;97.271700
4750;0.049076;96.788000
5000;0.050135;99.729500
5500;0.054130;101.606000
6000;0.059262;101.245000
6500;0.064208;101.233000
7000;0.071288;98.192300
7500;0.075025;99.965900
8000;0.077260;103.546000
8500;0.081362;104.471000
9000;0.086040;104.602000
9500;0.154308;61.565000
10000;0.095015;105.246000
11000;0.102732;107.074000
12000;0.112935;106.255000
13000;0.120453;107.926000
14000;0.134523;104.071000
15000;0.141902;105.706000
16000;0.148445;107.784000
17000;0.158123;107.511000
18000;0.167230;107.636000
19000;0.176806;107.462000
20000;0.186801;107.066000
21000;0.195500;107.417000
22000;0.203023;108.362000
23000;0.210939;109.036000
24000;0.218377;109.902000
25000;0.233035;107.280000
26000;0.236822;109.787000
27000;0.244185;110.572000
28000;0.256473;109.173000
29000;0.255163;113.653000
30000;0.271334;110.565000
31000;0.303032;102.299000
32000;0.290494;110.157000
33000;0.297207;111.034000
34000;0.308479;110.218000
35000;0.552976;63.293800
36000;0.329807;109.155000
37000;0.337157;109.741000
38000;0.373826;101.651000
39000;0.358244;108.864000
40000;0.357338;111.939000
41000;0.374793;109.394000
42000;0.379306;110.729000
43000;0.391514;109.830000
44000;0.403361;109.083000
45000;0.410096;109.730000
46000;0.425951;107.993000
47000;0.421193;111.588000
48000;0.431001;111.369000
49000;0.438336;111.786000
50000;0.520001;96.153600
52000;0.472683;110.010000
54000;0.492548;109.634000
56000;0.512818;109.200000
58000;0.522152;111.079000
60000;0.555189;108.071000
62000;0.553855;111.943000
64000;0.578398;110.650000
66000;0.592938;111.310000
68000;0.630561;107.840000
70000;0.633952;110.418000
72000;0.646409;111.384000
74000;0.692318;106.887000
76000;0.683624;111.172000
78000;0.696918;111.921000
80000;0.878602;91.053700
82000;0.749313;109.433000
84000;0.754536;111.327000
86000;0.777694;110.583000
88000;0.790778;111.283000
90000;0.806633;111.575000
92000;0.823392;111.733000
94000;0.841856;111.658000
96000;0.858661;111.802000
98000;0.895500;109.436000
100000;0.896283;111.572000
200000;1.792690;111.564000
300000;2.671733;112.287000
400000;3.564985;112.202000
500000;4.617298;108.288000
600000;5.331159;112.546000
700000;6.264459;111.741000
800000;7.096826;112.726000
900000;8.015866;112.277000
1000000;8.910071;112.233000
1500000;13.485878;111.227000
2000000;17.979312;111.239000
3000000;27.040105;110.946000
4000000;35.841048;111.604000
5000000;45.087654;110.895000
7500000;65.615652;114.302000
10000000;89.598320;111.609000
15000000;134.780376;111.292000
20000000;179.916210;111.163000
25000000;223.766683;111.724000
30000000;269.759032;111.210000
35000000;313.292808;111.717000
40000000;357.844685;111.780000
45000000;404.617760;111.216000
50000000;447.180894;111.812000
55000000;492.074493;111.772000
60000000;537.789018;111.568000
65000000;581.406559;111.798000
70000000;626.069001;111.809000
75000000;674.759128;111.151000
80000000;715.829291;111.758000
85000000;759.569075;111.906000
90000000;805.013181;111.799000
95000000;849.435598;111.839000
100000000;894.679043;111.772000
